target,trait,model,n,rmse,mae,bias,r2,pearson_r,ccc,rpd,rpiq,y_mean,y_sd
fruit_weight_g,FW,residual_cnn,4843,11.9911425124562,8.924129297278231,3.0516805500330547e-16,0.0829002161403265,0.29201816002246983,0.1783053329663166,1.0443270962782354,1.087354581719277,-4.694893153897007e-17,12.522675041091889
fruit_weight_g,FW,no_neural_b50,4843,12.403422391627602,9.262228045844086,-9.507158636641439e-16,0.018752576814658695,0.17907611960588649,0.09704958170580932,1.0096144955560638,1.0512117816586826,-4.694893153897007e-17,12.522675041091889
fruit_weight_g,FW,cultivar_mean_null,4843,12.55209613437534,9.235127035469318,-1.831008330019833e-15,-0.004911868799307051,-0.09338789638122508,-0.004363175802398683,0.9976560812657514,1.0387606668547016,-4.694893153897007e-17,12.522675041091889
fruit_weight_g,FW,plumspectra_corrected,4843,12.158261193007053,9.05334463941605,1.6901615354029227e-15,0.05715912976879012,0.2442416021132588,0.1322600167755735,1.0299725299777596,1.072408590668158,-4.694893153897007e-17,12.522675041091889
fruit_weight_g,FW,plumspectra_fixed_gate_sensitivity,4843,12.158261193007053,9.05334463941605,1.6901615354029227e-15,0.05715912976879012,0.2442416021132588,0.1322600167755735,1.0299725299777596,1.072408590668158,-4.694893153897007e-17,12.522675041091889
loading_stiffness_g_per_rawpos_mean,LS,global_pls,4853,80.99741616175652,62.0136517622063,6.032219392811896e-15,-0.19373380820378183,0.22500680263631534,0.21332648931400017,0.915358044496849,1.039525063582066,-1.4992700626794613e-15,74.14163646712292
loading_stiffness_g_per_rawpos_mean,LS,cultivar_aware_pls,4853,74.87911401066192,56.10069702244903,5.62226273504798e-16,-0.020202910131954743,0.15769082429689435,0.1026369024085629,0.9901510914854843,1.1244636812014637,-1.4992700626794613e-15,74.14163646712292
loading_stiffness_g_per_rawpos_mean,LS,nested_rbf_svr,4853,72.82390564357412,54.141604032385544,-6.8404196609750424e-15,0.03503158610183921,0.188150556375833,0.07481334847290849,1.0180947562741036,1.1561978644434678,-1.4992700626794613e-15,74.14163646712292
loading_stiffness_g_per_rawpos_mean,LS,residual_cnn,4853,69.43332282433244,51.859558247700775,6.887271850433776e-15,0.12279507188649408,0.3507069832144313,0.22585200191729224,1.0678105764101569,1.2126575649930742,-1.4992700626794613e-15,74.14163646712292
loading_stiffness_g_per_rawpos_mean,LS,no_neural_b50,4853,73.44781054843736,54.73405657291108,-8.901915997159302e-15,0.01842639336969154,0.1732674904420879,0.09023601022040136,1.0094465160159947,1.146376502673358,-1.4992700626794613e-15,74.14163646712292
loading_stiffness_g_per_rawpos_mean,LS,cultivar_mean_null,4853,74.30839226200818,56.00398254620509,-4.591514566955851e-15,-0.00471039100025461,-0.09143255991737534,-0.0041841146603794075,0.9977558955346889,1.1331000661224309,-1.4992700626794613e-15,74.14163646712292
loading_stiffness_g_per_rawpos_mean,LS,plumspectra_corrected,4853,70.4659118909897,52.3844976619154,8.737933334053736e-15,0.09651006924642869,0.31451064126751216,0.15598296469006206,1.052163159143098,1.1948875977903763,-1.4992700626794613e-15,74.14163646712292
loading_stiffness_g_per_rawpos_mean,LS,plumspectra_fixed_gate_sensitivity,4853,69.78789715474831,51.85559774032729,6.184489008552778e-15,0.1138129717921359,0.345533328583997,0.17437265231725146,1.0623853059036954,1.206496364245361,-1.4992700626794613e-15,74.14163646712292
loading_work_g_rawpos_mean,LW,global_pls,4853,570.2571147842111,442.1211966122308,2.2114233424522055e-14,-0.09506286137934339,0.19966848245169494,0.1713396620942932,0.9557080066435777,1.1354893213595654,-2.248905094019192e-14,544.9992904447363
loading_work_g_rawpos_mean,LW,cultivar_aware_pls,4853,553.6409005449416,425.5277074701688,-6.727974406274082e-14,-0.032176478896568605,0.0325228059328059,0.013357019851714794,0.9843913083522199,1.1695683314390992,-2.248905094019192e-14,544.9992904447363
loading_work_g_rawpos_mean,LW,nested_rbf_svr,4853,543.3645350962273,415.1730525784084,-2.7923904917404966e-14,0.005785246665201527,0.09095680932870323,0.025121635668796022,1.0030085794028119,1.1916877573765736,-2.248905094019192e-14,544.9992904447363
loading_work_g_rawpos_mean,LW,residual_cnn,4853,531.0124360420675,407.2239826733229,3.4483211441627614e-14,0.050473675091950776,0.2246641853991877,0.09631657372868171,1.0263399752121074,1.2194080972813415,-2.248905094019192e-14,544.9992904447363
loading_work_g_rawpos_mean,LW,no_neural_b50,4853,546.3467165193441,418.3572054397997,3.092244504276389e-14,-0.005157922708470597,0.0626595164790026,0.01931468973118767,0.9975337527729791,1.185183043456364,-2.248905094019192e-14,544.9992904447363
loading_work_g_rawpos_mean,LW,cultivar_mean_null,4853,546.048083521344,418.61827203482625,8.470875854138957e-14,-0.00405938481115653,-0.08491797564164252,-0.0036064331309543663,0.998079302705644,1.1858312185459345,-2.248905094019192e-14,544.9992904447363
loading_work_g_rawpos_mean,LW,plumspectra_corrected,4853,534.6284873037425,408.8590203925494,-9.332956140179647e-14,0.03749760765076504,0.19695729385257965,0.06180955158602298,1.019398149158299,1.2111604219453174,-2.248905094019192e-14,544.9992904447363
loading_work_g_rawpos_mean,LW,plumspectra_fixed_gate_sensitivity,4853,529.6501968373825,404.8263144135576,-5.0225547099761954e-14,0.055339183969426164,0.24550026487564316,0.08349628904497566,1.0289796807383542,1.222544366325601,-2.248905094019192e-14,544.9992904447363
ph,pH,global_pls,4843,0.3852063186015408,0.3068698981113361,2.967319188673968e-16,-0.11804815169439387,0.12079661688393864,0.09485872636646649,0.9458332734274998,1.288181127372375,-8.362778430379045e-17,0.36434095326785176
ph,pH,cultivar_aware_pls,4843,0.3687967100959822,0.2936081332923885,2.19706328061274e-16,-0.02482044231571434,0.04859207479757717,0.019840926948797643,0.9879181220814828,1.3454987427570901,-8.362778430379045e-17,0.36434095326785176
ph,pH,nested_rbf_svr,4843,0.36307721029777895,0.2894369355618956,5.721901031311978e-17,0.0067200177690256435,0.09110154568207192,0.023438928036142614,1.0034806452573444,1.3666941787949793,-8.362778430379045e-17,0.36434095326785176
ph,pH,residual_cnn,4843,0.3622830420632703,0.28859330506239683,1.1443802062623955e-16,0.011060519853831607,0.13185271649670857,0.05335798512422134,1.0056803961699705,1.3696901376919386,-8.362778430379045e-17,0.36434095326785176
ph,pH,no_neural_b50,4843,0.36435961723801147,0.2903773882340953,-4.474820037308085e-17,-0.0003090033329653519,0.07414144993774277,0.02179988482683555,0.9999487759639744,1.3618839363390567,-8.362778430379045e-17,0.36434095326785176
ph,pH,cultivar_mean_null,4843,0.36504766211858275,0.29059501366673535,1.7055666535641472e-16,-0.004090472506258269,-0.08518578355358652,-0.003633553349893489,0.9980640641645818,1.3593170461283588,-8.362778430379045e-17,0.36434095326785176
ph,pH,plumspectra_corrected,4843,0.3610881919305288,0.2878792192570451,3.154381337774552e-17,0.017573029414636565,0.13347589508284613,0.0389262865345843,1.0090082185183966,1.3742224776559957,-8.362778430379045e-17,0.36434095326785176
ph,pH,plumspectra_fixed_gate_sensitivity,4843,0.3610881919305288,0.2878792192570451,3.154381337774552e-17,0.017573029414636565,0.13347589508284613,0.0389262865345843,1.0090082185183966,1.3742224776559957,-8.362778430379045e-17,0.36434095326785176
post_break_work_g_rawpos_mean,PRW,global_pls,4853,446.0089204456195,336.1050476611067,4.1229926723685185e-15,-0.07657629438077551,0.21657970400297039,0.18601687944961395,0.963878611195007,0.9377645453736405,4.872627703708249e-15,429.898458819708
post_break_work_g_rawpos_mean,PRW,cultivar_aware_pls,4853,436.4023417092996,323.4302533889794,-6.184489008552778e-15,-0.03069903017968234,0.1997972864005395,0.15289099322838987,0.9850965903067403,0.958407672323821,4.872627703708249e-15,429.898458819708
post_break_work_g_rawpos_mean,PRW,nested_rbf_svr,4853,423.4386811727282,304.37416062719245,6.934124039892509e-15,0.02962683154897927,0.19129406293291434,0.09774118077432346,1.0152555208916891,0.9877495163075628,4.872627703708249e-15,429.898458819708
post_break_work_g_rawpos_mean,PRW,residual_cnn,4853,411.28693765567897,298.8731121349798,-3.860620411399613e-14,0.08452275055795977,0.3030780405694111,0.20469266496823443,1.045251914077588,1.0169332264678586,4.872627703708249e-15,429.898458819708
post_break_work_g_rawpos_mean,PRW,no_neural_b50,4853,423.54331103343236,307.51490454149047,-7.683759071232239e-15,0.029147222303185893,0.21331747892070252,0.1303921341192424,1.0150047176303394,0.9875055079815909,4.872627703708249e-15,429.898458819708
post_break_work_g_rawpos_mean,PRW,cultivar_mean_null,4853,430.8673122238321,308.7063670272532,-5.2849269709451013e-14,-0.00471946894615094,-0.09162321464745798,-0.004193117889625749,0.9977513880105606,0.9707196174979187,4.872627703708249e-15,429.898458819708
