target,trait,outer_fold,global_pls_preprocessing,global_pls_components,global_pls_cv_rmse,global_pls_component_lower_boundary,global_pls_component_upper_boundary,global_pls_component_boundary,domain_pls_preprocessing,domain_pls_components,domain_pls_cv_rmse,domain_pls_component_lower_boundary,domain_pls_component_upper_boundary,domain_pls_component_boundary,svr_preprocessing,svr_C,svr_gamma_factor,svr_epsilon_z,svr_cv_rmse,svr_C_boundary,svr_gamma_boundary,svr_epsilon_boundary,domain_svr_degradation_vs_pls_pct,kernel_weight,selected_variant,selection_uses_outer_test_labels
ph,pH,1,raw,8,0.4469114574203791,False,False,False,snv,1,0.3684950815387975,True,False,True,sg1,0.3,0.005,1.5,0.36318745052699564,False,False,False,-1.4403532849441958,0.5,deep_kernel,False
ph,pH,2,raw,12,0.4475501205508576,False,False,False,snv,1,0.36870228110974773,True,False,True,sg1,0.3,0.01,1.5,0.36446496889625785,False,False,False,-1.1492503384400332,0.5,deep_kernel,False
ph,pH,3,raw,12,0.44684293506520156,False,False,False,snv,1,0.369195604422598,True,False,True,sg1,0.3,0.005,1.5,0.3642410754484927,False,False,False,-1.3419794046177547,0.5,deep_kernel,False
ph,pH,4,raw,12,0.44577678667909065,False,False,False,snv,1,0.37230985041824716,True,False,True,snv,0.3,0.01,1.5,0.36754803728766017,False,False,False,-1.2789919808024575,0.5,deep_kernel,False
ph,pH,5,raw,12,0.44670270527933137,False,False,False,snv,1,0.36854630516168274,True,False,True,sg1,0.3,0.01,1.5,0.3624191361892249,False,False,False,-1.6625235110605319,0.5,deep_kernel,False
soluble_solids_pct,SSC,1,raw,16,1.8203083961689854,False,False,False,raw,12,1.6283379135291298,False,False,False,snv,100.0,0.01,0.3,1.632182787538221,False,False,False,0.23612261172241134,0.5,deep_kernel,False
soluble_solids_pct,SSC,2,raw,16,1.8274805735683783,False,False,False,raw,12,1.6464132095026773,False,False,False,snv_sg1,3.0,0.1,0.4,1.6251044566754362,False,False,False,-1.294253028598924,0.5,deep_kernel,False
soluble_solids_pct,SSC,3,raw,16,1.8175197958656553,False,False,False,raw,16,1.6394068808362516,False,False,False,snv,30.0,0.05,0.2,1.6272153664422955,False,False,False,-0.7436539724499203,0.5,deep_kernel,False
soluble_solids_pct,SSC,4,raw,16,1.8169427330359968,False,False,False,raw,12,1.622958929851443,False,False,False,snv_sg1,3.0,0.1,0.2,1.6151784937830027,False,False,False,-0.47939821059751475,0.5,deep_kernel,False
soluble_solids_pct,SSC,5,raw,16,1.8256844014489801,False,False,False,raw,12,1.6389272427614754,False,False,False,snv_sg1,3.0,0.1,0.4,1.62934249303861,False,False,False,-0.58481850034513,0.5,deep_kernel,False
