model,trait,shots,adapter,aggregation,repeats,n_evaluation_mean,rmse_mean,rmse_sd,rmse_ci025,rmse_ci975,r2_mean,r2_sd,r2_ci025,r2_ci975,ccc_mean,ccc_ci025,ccc_ci975,rmse_gain_pct_mean,rmse_gain_pct_ci025,rmse_gain_pct_ci975
Cultivar-aware PLSR,RD,10,shrunken_affine,batch_macro,500,1206.0,0.41074345438067705,0.014508079769667429,0.388642266267632,0.44624239277729666,-0.2662233849405344,0.10424139391550377,-0.5469636718674796,-0.11832351614722902,0.10424910964258714,0.0853813246167091,0.12165644718367073,11.623081139633998,3.827635003934665,16.35231197792694
Cultivar-aware PLSR,RD,10,shrunken_affine,pooled,500,1206.0,0.40848034812601725,0.015535321131067158,0.3858457309184578,0.4463116193844319,-0.16369553491407945,0.09463531544711094,-0.3953300362543282,-0.028186026046616536,0.1977859336939643,0.10220339806778597,0.2627906258117909,11.427335395906391,3.0098871098122917,16.471454572283942
Cultivar-aware PLSR,RD,20,intercept,batch_macro,500,1156.0,0.4281701243995716,0.006667630892951299,0.4177347527991439,0.443087552292713,-0.3756303355356232,0.04667576955378971,-0.4787682375864237,-0.30626774521137234,0.12072071626212191,0.10030179542101698,0.1395112774938965,7.939688234963832,4.6592300254060275,9.936146758585044
Cultivar-aware PLSR,RD,20,intercept,pooled,500,1156.0,0.426084786879225,0.006819523850255259,0.415872068835751,0.44222361267006804,-0.26629254866999663,0.042570192478434986,-0.3624095166972822,-0.20552908605920023,0.20546348593284458,0.1489806174527447,0.24929563529555906,7.4968687873117,4.038906473026981,9.584782628196903
Cultivar-aware PLSR,RD,20,shrunken_affine,batch_macro,500,1156.0,0.3893230564509664,0.009116574027014795,0.37357930905013376,0.40850934623691054,-0.13111640081056875,0.06200167000603744,-0.2674784958924388,-0.03223685786522582,0.0973223584710154,0.07413542268085425,0.11400487576397825,16.1949860392958,12.311935376097056,19.222929981358902
Cultivar-aware PLSR,RD,20,shrunken_affine,pooled,500,1156.0,0.3859882074712323,0.009400716143500241,0.37020367098046875,0.4064006570028262,-0.039692672796665246,0.055211372985684834,-0.16496012623773032,0.04719192224055514,0.20492961893068457,0.14300760144566854,0.25527531945473675,16.20490764787078,11.910897214410179,19.32173825230925
Cultivar-aware PLSR,RD,40,intercept,batch_macro,500,1056.0,0.4234528014599198,0.005893832382185577,0.4118249674571237,0.43490286370226094,-0.34287710872215993,0.03916574769609418,-0.4265013668707203,-0.27489397970587864,0.12310283463080265,0.09492533568389269,0.14955592558830452,9.006966730745273,6.473790989757073,10.305328782302713
Cultivar-aware PLSR,RD,40,intercept,pooled,500,1056.0,0.4209124135664719,0.005455350534355094,0.41063060426217557,0.4326492166792246,-0.23923611982332435,0.03495569517148447,-0.31463104061544667,-0.18304501617002236,0.210113081208254,0.16844559639894802,0.24542295997253938,8.46527869113798,5.769020229387408,9.791630317357859
Cultivar-aware PLSR,RD,40,shrunken_affine,batch_macro,500,1056.0,0.37581860881698004,0.00678337697257235,0.3624633611742646,0.3897568065085081,-0.04923669768195178,0.040184079877472724,-0.13847387464725835,0.014775916041350668,0.08812069162966317,0.06983976100136768,0.10385664405647664,19.107491706853388,16.292870738748316,20.90068826411149
Cultivar-aware PLSR,RD,40,shrunken_affine,pooled,500,1056.0,0.3719101184890113,0.006627954109344845,0.35989620568951103,0.38587031393365195,0.03233673620514718,0.03704022518275502,-0.0522422753051313,0.09008571346770858,0.2043245014008519,0.1620359915495149,0.23689147777083833,19.124231931314785,16.2595710445033,20.977559666185105
Cultivar-aware PLSR,RD,80,intercept,batch_macro,500,856.0,0.42034013551125454,0.007706922243354557,0.40486771853995845,0.4361432062688137,-0.3298783844163226,0.04909026425328744,-0.44324473822168003,-0.24014745001421448,0.12453080574302695,0.07584301946802391,0.16944781962946673,9.553938243123982,7.28489087473409,11.149018318274631
Cultivar-aware PLSR,RD,80,intercept,pooled,500,856.0,0.4169819815702721,0.006143476463264356,0.4050325825456401,0.4292632980006642,-0.22876824570560053,0.037305946304426844,-0.30505553142933595,-0.15782782416560223,0.20783221587661252,0.1739180829564985,0.2440930939637961,8.674864008238071,6.685667496608491,10.075060338619506
Cultivar-aware PLSR,RD,80,shrunken_affine,batch_macro,500,856.0,0.36840626369869495,0.00745708395736039,0.3533190195694446,0.3829507814768406,-0.010078805644620478,0.02725776304359706,-0.07191007370835709,0.032340226183972705,0.07830531574609434,0.05883708283805081,0.09320259347461575,20.573040529875446,18.476468002290215,22.41129835610731
