scenario,target,trait,model,fruits,cultivars,n,rmse,mae,bias,r2,pearson_r,ccc,rpd,rpiq,y_mean,y_sd
primary_15_cultivars,soluble_solids_pct,SSC,nested_rbf_svr,4843,15,4843,1.6224628246263793,1.2222663709226345,-0.0011120756144698564,0.6067091069277288,0.7792810182774588,0.7609241124088768,1.5947326903634518,1.8490408251362185,13.634761511459837,2.587394505331111
primary_15_cultivars,soluble_solids_pct,SSC,residual_cnn,4843,15,4843,1.5900289238556782,1.1964108304920311,-0.00035176756656194884,0.6222761305837705,0.7888675402068752,0.7685223497987186,1.6272625400152534,1.8867581306164343,13.634761511459837,2.587394505331111
primary_15_cultivars,soluble_solids_pct,SSC,no_neural_b50,4843,15,4843,1.5934876479789826,1.1977376312423216,6.626688807822155e-05,0.6206310490826685,0.7880717089160622,0.7706372650600857,1.6237305062343588,1.8826628520182722,13.634761511459837,2.587394505331111
primary_15_cultivars,soluble_solids_pct,SSC,cultivar_mean_null,4843,15,4843,2.0007912191945993,1.5012321087853207,3.1044460415330965e-05,0.4019080922753122,0.6339674948228496,0.5743728522250986,1.293185656008948,1.499406820271644,13.634761511459837,2.587394505331111
primary_15_cultivars,soluble_solids_pct,SSC,plumspectra_corrected,4843,15,4843,1.5761790361608938,1.1808284944556744,-0.0007319215905159056,0.6288277712376654,0.792992347056783,0.7714576388941604,1.6415612985395613,1.903337077307609,13.634761511459837,2.587394505331111
primary_15_cultivars,soluble_solids_pct,SSC,plumspectra_fixed_gate_sensitivity,4843,15,4843,1.5761790361608938,1.1808284944556744,-0.0007319215905159056,0.6288277712376654,0.792992347056783,0.7714576388941604,1.6415612985395613,1.903337077307609,13.634761511459837,2.587394505331111
stricter_13_cultivars_excluding_Weijin_Cuihongli,adhesive_force_g_mean,AF,global_pls,4238,13,4238,36.56360841219603,27.10307024115308,0.37896214905201586,0.40188051571938666,0.6340078549428164,0.5716133054479008,1.2931749076141228,1.6512504180113357,84.76721271122457,47.28314093048057
stricter_13_cultivars_excluding_Weijin_Cuihongli,adhesive_force_g_mean,AF,cultivar_aware_pls,4238,13,4238,32.182174295139845,23.499077895429682,0.0269365749418883,0.536637783999081,0.7346891072231112,0.7148723551495255,1.4692338838529402,1.8760594955748353,84.76721271122457,47.28314093048057
stricter_13_cultivars_excluding_Weijin_Cuihongli,adhesive_force_g_mean,AF,nested_rbf_svr,4238,13,4238,31.455487234927283,22.276473931539265,-0.07144824832089341,0.5573273552720786,0.746566316236172,0.7172851576531238,1.5031762368626962,1.9194003648305296,84.76721271122457,47.28314093048057
stricter_13_cultivars_excluding_Weijin_Cuihongli,adhesive_force_g_mean,AF,residual_cnn,4238,13,4238,31.083236354670156,21.756297876800062,-2.6399202441563347,0.5677427227739037,0.7569329383577192,0.7135465949005494,1.5211781807712708,1.9423869826724218,84.76721271122457,47.28314093048057
stricter_13_cultivars_excluding_Weijin_Cuihongli,adhesive_force_g_mean,AF,no_neural_b50,4238,13,4238,31.421723831054738,22.49668807679825,-0.022255836689502363,0.5582771491063023,0.7473713448861308,0.7211616162405879,1.5047914361639723,1.9214628070459636,84.76721271122457,47.28314093048057
stricter_13_cultivars_excluding_Weijin_Cuihongli,adhesive_force_g_mean,AF,cultivar_mean_null,4238,13,4238,33.0498961788611,23.380787086911003,0.0005524607713746688,0.5113138271017111,0.7150641499215052,0.6771705959194972,1.4306592878413682,1.8268037317847345,84.76721271122457,47.28314093048057
stricter_13_cultivars_excluding_Weijin_Cuihongli,adhesive_force_g_mean,AF,plumspectra_corrected,4238,13,4238,30.90511236319652,21.63892707459669,-1.355684246238614,0.5726826703248387,0.7579957626734302,0.7202041395079332,1.5299456081831915,1.9535820794018568,84.76721271122457,47.28314093048057
stricter_13_cultivars_excluding_Weijin_Cuihongli,adhesive_force_g_mean,AF,plumspectra_fixed_gate_sensitivity,4238,13,4238,31.00293629176209,21.84932934210607,-0.8967201491280028,0.5699732145468687,0.7554268689265053,0.7214201910741288,1.5251181528584554,1.947417918949959,84.76721271122457,47.28314093048057
stricter_13_cultivars_excluding_Weijin_Cuihongli,flesh_force_mean_g_mean,MFF,global_pls,4238,13,4238,47.861194383066206,37.260809786529315,4.4289657024537785,0.32481547277779266,0.5775539442560369,0.5195395647131943,1.2171385097821057,1.6931735189355772,88.51716828337652,58.253702807796884
stricter_13_cultivars_excluding_Weijin_Cuihongli,flesh_force_mean_g_mean,MFF,cultivar_aware_pls,4238,13,4238,40.75758810530281,30.020192267096586,0.0038346394666543093,0.5103650965659756,0.7146196912021987,0.6813128302061338,1.4292725726873354,1.9882753293611222,88.51716828337652,58.253702807796884
stricter_13_cultivars_excluding_Weijin_Cuihongli,flesh_force_mean_g_mean,MFF,nested_rbf_svr,4238,13,4238,40.07596053402479,29.57205965450696,0.3467504980266651,0.5266054026666558,0.7259707294656703,0.6958073146270203,1.453582198194328,2.022092691832916,88.51716828337652,58.253702807796884
stricter_13_cultivars_excluding_Weijin_Cuihongli,flesh_force_mean_g_mean,MFF,residual_cnn,4238,13,4238,39.396968886634546,28.600352116333653,-1.7755926885825304,0.5425106003114082,0.7372581252076565,0.7008204586676573,1.4786341298342751,2.05694268376895,88.51716828337652,58.253702807796884
stricter_13_cultivars_excluding_Weijin_Cuihongli,flesh_force_mean_g_mean,MFF,no_neural_b50,4238,13,4238,39.851028522462364,29.13593667142508,0.1752925687466596,0.5319044785260394,0.7293243357252164,0.6946346673891848,1.4617866832461224,2.0335060328081256,88.51716828337652,58.253702807796884
stricter_13_cultivars_excluding_Weijin_Cuihongli,flesh_force_mean_g_mean,MFF,cultivar_mean_null,4238,13,4238,40.73757359606308,29.872549951128715,0.0008859802241650255,0.5108458608407174,0.7147372378533486,0.6768083408214179,1.4299747791907416,1.9892521758308017,88.51716828337652,58.253702807796884
stricter_13_cultivars_excluding_Weijin_Cuihongli,flesh_force_mean_g_mean,MFF,plumspectra_corrected,4238,13,4238,39.21339484324946,28.55734177217117,-0.7144210952779325,0.5467641008898496,0.7396243301518508,0.7038609845309238,1.4855562248731238,2.0665720792084485,88.51716828337652,58.253702807796884
stricter_13_cultivars_excluding_Weijin_Cuihongli,flesh_force_mean_g_mean,MFF,plumspectra_fixed_gate_sensitivity,4238,13,4238,39.430236713481875,28.762768239255283,-0.38990275757200454,0.5417376421620903,0.736093561498284,0.7007534941206095,1.4773865861139743,2.0552072132584445,88.51716828337652,58.253702807796884
stricter_13_cultivars_excluding_Weijin_Cuihongli,force_at_6_rawpos_g_mean,F6,global_pls,4238,13,4238,55.79962618484323,41.451053142997225,3.5144253006539294,0.2500816838157489,0.5050884710543752,0.4257778207091923,1.1548996870575425,1.5296668237874587,88.82231658075119,64.4429708188033
stricter_13_cultivars_excluding_Weijin_Cuihongli,force_at_6_rawpos_g_mean,F6,cultivar_aware_pls,4238,13,4238,47.9650792240052,32.56026730244707,0.016282933450080448,0.4458826937568786,0.6684606185329145,0.627897236965871,1.3435393386476755,1.7795203997490514,88.82231658075119,64.4429708188033
stricter_13_cultivars_excluding_Weijin_Cuihongli,force_at_6_rawpos_g_mean,F6,nested_rbf_svr,4238,13,4238,47.374617229246695,32.02258452338456,0.017116598855676148,0.45944136393047086,0.6778272240519567,0.6306060793722492,1.3602847809189151,1.8016997697662218,88.82231658075119,64.4429708188033
stricter_13_cultivars_excluding_Weijin_Cuihongli,force_at_6_rawpos_g_mean,F6,residual_cnn,4238,13,4238,46.62085585761789,30.91471447663019,-2.611542657004824,0.47650581008281134,0.691485797029998,0.6469116007325325,1.382277730284809,1.8308294728731282,88.82231658075119,64.4429708188033
stricter_13_cultivars_excluding_Weijin_Cuihongli,force_at_6_rawpos_g_mean,F6,no_neural_b50,4238,13,4238,47.39874228607881,31.96178187538703,0.01669976615287822,0.4588906754360189,0.677463461193818,0.6319059740092631,1.3595924218801572,1.8007827389075193,88.82231658075119,64.4429708188033
stricter_13_cultivars_excluding_Weijin_Cuihongli,force_at_6_rawpos_g_mean,F6,cultivar_mean_null,4238,13,4238,47.344578104123144,32.066915874612825,0.0002898411129342779,0.4601266575082512,0.6783300561222099,0.6310255080291307,1.3611478526026002,1.8028429098465928,88.82231658075119,64.4429708188033
stricter_13_cultivars_excluding_Weijin_Cuihongli,force_at_6_rawpos_g_mean,F6,plumspectra_corrected,4238,13,4238,46.722786005058055,31.151251220561583,-1.2972130290745738,0.4742142102831707,0.6889529838082331,0.6415300813479857,1.3792621615463367,1.826835346365185,88.82231658075119,64.4429708188033
stricter_13_cultivars_excluding_Weijin_Cuihongli,force_at_6_rawpos_g_mean,F6,plumspectra_fixed_gate_sensitivity,4238,13,4238,46.40704550932603,30.780005247229997,-2.0983688361880892,0.48129644777061964,0.6946076049392818,0.6467248007816555,1.3886462736752492,1.8392646206607488,88.82231658075119,64.4429708188033
stricter_13_cultivars_excluding_Weijin_Cuihongli,fruit_weight_g,FW,global_pls,4231,13,4231,24.42029536088386,19.140438185849835,-3.8479822121836014,0.21095935439027458,0.4866328486512561,0.41102036970130346,1.1259047238026152,1.7043200905205442,66.20921035216261,27.49492590347423
stricter_13_cultivars_excluding_Weijin_Cuihongli,fruit_weight_g,FW,cultivar_aware_pls,4231,13,4231,12.966633070647514,9.812219334691342,0.002741439900995408,0.7775399689880705,0.8818177537019775,0.8758327437166835,2.120436797561143,3.2097769539121868,66.20921035216261,27.49492590347423
stricter_13_cultivars_excluding_Weijin_Cuihongli,fruit_weight_g,FW,nested_rbf_svr,4231,13,4231,13.044920835883511,9.839963335240402,-0.011571240246543239,0.7748455958250412,0.8802751733054542,0.8739239887845925,2.107711211848994,3.190513804078685,66.20921035216261,27.49492590347423
stricter_13_cultivars_excluding_Weijin_Cuihongli,fruit_weight_g,FW,residual_cnn,4231,13,4231,12.577895178756298,9.450616674759967,-0.2414690086997673,0.7906786664509986,0.8893086730954254,0.8818769832545539,2.18597193828681,3.308979714689862,66.20921035216261,27.49492590347423
stricter_13_cultivars_excluding_Weijin_Cuihongli,fruit_weight_g,FW,no_neural_b50,4231,13,4231,12.987533781413665,9.809276518099262,-0.004414900172773866,0.7768222313878381,0.8813981348290816,0.8751878756848184,2.1170243994146105,3.2046114913334804,66.20921035216261,27.49492590347423
stricter_13_cultivars_excluding_Weijin_Cuihongli,fruit_weight_g,FW,cultivar_mean_null,4231,13,4231,13.164790346646058,9.826723508944218,-8.87823126566227e-05,0.7706887059548236,0.8778890211294924,0.8705799513083408,2.088519845701835,3.161463183544231,66.20921035216261,27.49492590347423
stricter_13_cultivars_excluding_Weijin_Cuihongli,fruit_weight_g,FW,plumspectra_corrected,4231,13,4231,12.742057384187417,9.586310128231649,-0.12652012447315533,0.7851790346270674,0.8861289117148162,0.8790793822122952,2.157808984410537,3.2663484981357414,66.20921035216261,27.49492590347423
stricter_13_cultivars_excluding_Weijin_Cuihongli,fruit_weight_g,FW,plumspectra_fixed_gate_sensitivity,4231,13,4231,12.742057384187417,9.586310128231649,-0.12652012447315533,0.7851790346270674,0.8861289117148162,0.8790793822122952,2.157808984410537,3.2663484981357414,66.20921035216261,27.49492590347423
stricter_13_cultivars_excluding_Weijin_Cuihongli,loading_stiffness_g_per_rawpos_mean,LS,global_pls,4238,13,4238,97.99632268740957,77.40591845596849,8.638839137820648,0.4364848842992366,0.664928769950663,0.6230910779367774,1.3322890521542399,1.9386010904699242,283.9868391328306,130.55942786780994
stricter_13_cultivars_excluding_Weijin_Cuihongli,loading_stiffness_g_per_rawpos_mean,LS,cultivar_aware_pls,4238,13,4238,75.34622000154832,55.972871502020126,0.02751389498707849,0.6668736774859287,0.8170949649906495,0.8056184201284516,1.7327933354205032,2.5213710524555966,283.9868391328306,130.55942786780994
stricter_13_cultivars_excluding_Weijin_Cuihongli,loading_stiffness_g_per_rawpos_mean,LS,nested_rbf_svr,4238,13,4238,73.40879627521163,54.05405474910849,-0.1395187769173312,0.683785181989649,0.8269140006257052,0.8120779106608351,1.7785256603083233,2.5879157221381246,283.9868391328306,130.55942786780994
stricter_13_cultivars_excluding_Weijin_Cuihongli,loading_stiffness_g_per_rawpos_mean,LS,residual_cnn,4238,13,4238,69.79255585290966,51.41786464469614,-2.4982960330872097,0.7141723639835318,0.845315489681751,0.8325993891379235,1.8706784165200752,2.7220063186142034,283.9868391328306,130.55942786780994
stricter_13_cultivars_excluding_Weijin_Cuihongli,loading_stiffness_g_per_rawpos_mean,LS,no_neural_b50,4238,13,4238,73.97705189631363,54.61005995927698,-0.056002440965126334,0.678870611853652,0.823990820703699,0.8105086924496692,1.7648638938843126,2.5680366161404375,283.9868391328306,130.55942786780994
stricter_13_cultivars_excluding_Weijin_Cuihongli,loading_stiffness_g_per_rawpos_mean,LS,cultivar_mean_null,4238,13,4238,75.15911889646861,56.24103970157869,0.0009390573047545132,0.668526074001211,0.81763508777753,0.8015380467268151,1.7371069510228698,2.527647753369031,283.9868391328306,130.55942786780994
stricter_13_cultivars_excluding_Weijin_Cuihongli,loading_stiffness_g_per_rawpos_mean,LS,plumspectra_corrected,4238,13,4238,70.90615958713387,52.0477284253581,-1.31890740500227,0.7049783147968849,0.8397467469657631,0.8253347738451096,1.8412988184386216,2.679256345711416,283.9868391328306,130.55942786780994
stricter_13_cultivars_excluding_Weijin_Cuihongli,loading_stiffness_g_per_rawpos_mean,LS,plumspectra_fixed_gate_sensitivity,4238,13,4238,70.23684180543417,51.5068012575443,-1.4243069527517525,0.7105217340170606,0.8430950376554771,0.82863105710557,1.8588453653636328,2.7047881587573963,283.9868391328306,130.55942786780994
stricter_13_cultivars_excluding_Weijin_Cuihongli,loading_work_g_rawpos_mean,LW,global_pls,4238,13,4238,687.2875709058558,546.9377963498662,-6.80726589640242,0.32198382132798853,0.5676097804956926,0.48219645245410864,1.2145942356540766,1.741458611322606,2007.8575946887386,834.7755218589449
stricter_13_cultivars_excluding_Weijin_Cuihongli,loading_work_g_rawpos_mean,LW,cultivar_aware_pls,4238,13,4238,572.7084075306188,442.04826594179036,0.025837438101295136,0.5292067859733501,0.7277367702706052,0.6979937917579745,1.457592573956259,2.0898643062875055,2007.8575946887386,834.7755218589449
stricter_13_cultivars_excluding_Weijin_Cuihongli,loading_work_g_rawpos_mean,LW,nested_rbf_svr,4238,13,4238,563.6165243275691,432.539292186949,-0.48878785691420545,0.5440360453155665,0.7375909036358941,0.7052549675730485,1.4811054783301216,2.1235765935659128,2007.8575946887386,834.7755218589449
stricter_13_cultivars_excluding_Weijin_Cuihongli,loading_work_g_rawpos_mean,LW,residual_cnn,4238,13,4238,550.5786856337403,421.89040767667393,-24.637348693523677,0.5648871931528893,0.7522592642659127,0.7191706142831581,1.5161784203434638,2.1738634096075367,2007.8575946887386,834.7755218589449
stricter_13_cultivars_excluding_Weijin_Cuihongli,loading_work_g_rawpos_mean,LW,no_neural_b50,4238,13,4238,566.1289594338624,435.51322292587105,-0.23147520940645236,0.5399618809687383,0.7348497367440988,0.7031229263389569,1.4745324505104511,2.114152330249807,2007.8575946887386,834.7755218589449
stricter_13_cultivars_excluding_Weijin_Cuihongli,loading_work_g_rawpos_mean,LW,cultivar_mean_null,4238,13,4238,567.0770237162893,437.107669547692,-0.008255972421432233,0.538419790968707,0.7337720813914443,0.7003354896469762,1.4720672623770172,2.1106177975001215,2007.8575946887386,834.7755218589449
stricter_13_cultivars_excluding_Weijin_Cuihongli,loading_work_g_rawpos_mean,LW,plumspectra_corrected,4238,13,4238,554.2946825927402,424.76039173170517,-12.56306827521894,0.5589939965167033,0.7478872656155513,0.7143093765028705,1.5060139454238348,2.1592898081044565,2007.8575946887386,834.7755218589449
stricter_13_cultivars_excluding_Weijin_Cuihongli,loading_work_g_rawpos_mean,LW,plumspectra_fixed_gate_sensitivity,4238,13,4238,549.672820532018,420.37671312824546,-18.69186262326563,0.5663177943281554,0.7531033850180614,0.7183914986360359,1.518677094223035,2.1774459534865818,2007.8575946887386,834.7755218589449
stricter_13_cultivars_excluding_Weijin_Cuihongli,ph,pH,global_pls,4231,13,4231,0.4527010492337696,0.37106956919327877,-0.03135635835717737,0.2863697044253376,0.5403952274433836,0.4709001380324977,1.1838990977888895,1.8776187981863288,4.555025762231151,0.5359523637559435
stricter_13_cultivars_excluding_Weijin_Cuihongli,ph,pH,cultivar_aware_pls,4231,13,4231,0.3769071539246541,0.30080886632421255,-7.34961599330855e-05,0.5053260529490544,0.7111716874687857,0.67794853414587,1.421974505326273,2.255197310926925,4.555025762231151,0.5359523637559435
stricter_13_cultivars_excluding_Weijin_Cuihongli,ph,pH,nested_rbf_svr,4231,13,4231,0.3711621333506133,0.2968390479932695,-0.00010582401607546486,0.5202912930723087,0.7213178787335188,0.6853185036527545,1.4439844897907816,2.2901043065108677,4.555025762231151,0.5359523637559435
stricter_13_cultivars_excluding_Weijin_Cuihongli,ph,pH,residual_cnn,4231,13,4231,0.3704739825955554,0.2947944134387866,0.009714183137028586,0.5220684457412896,0.7231628158877713,0.6933018871151565,1.4466666727877622,2.2943581464071157,4.555025762231151,0.5359523637559435
stricter_13_cultivars_excluding_Weijin_Cuihongli,ph,pH,no_neural_b50,4231,13,4231,0.3724514284466643,0.29768145780534067,-8.96600880042778e-05,0.5169528043836488,0.7190218101719557,0.6834705455440246,1.4389859262754654,2.2821767754925446,4.555025762231151,0.5359523637559435
stricter_13_cultivars_excluding_Weijin_Cuihongli,ph,pH,cultivar_mean_null,4231,13,4231,0.3739185488122312,0.29872377068449923,-1.1905425355625226e-05,0.5131397747197924,0.716338958813937,0.6786458253040202,1.4333398689592154,2.2732223440106494,4.555025762231151,0.5359523637559435
stricter_13_cultivars_excluding_Weijin_Cuihongli,ph,pH,plumspectra_corrected,4231,13,4231,0.36912951658509946,0.2945661742691773,0.004804179560476564,0.5255310197209533,0.725031806812298,0.6913055682264099,1.4519358102656212,2.3027147974064563,4.555025762231151,0.5359523637559435
stricter_13_cultivars_excluding_Weijin_Cuihongli,ph,pH,plumspectra_fixed_gate_sensitivity,4231,13,4231,0.36912951658509946,0.2945661742691773,0.004804179560476564,0.5255310197209533,0.725031806812298,0.6913055682264099,1.4519358102656212,2.3027147974064563,4.555025762231151,0.5359523637559435
