target,trait,model,cultivar_ascii,n,rmse,mae,bias,r2,pearson_r,ccc,rpd,rpiq,y_mean,y_sd
ph,pH,cultivar_mean_null,Weijin,317,0.3193272839827326,0.2540675989664589,-4.004681945096891e-05,-0.0066335723126826895,-0.10884119514838435,-0.005894826451474622,0.9982754354224834,1.2526333328336254,4.194511041009464,0.31877658346014137
ph,pH,cultivar_mean_null,Weiwang,478,0.41046857877752596,0.3408544609346593,-3.0682812037885944e-05,-0.001856583317753957,-0.05747012236737935,-0.0016500626522335663,1.0001196969661008,1.5287406453104042,4.320100418410042,0.4105177106210854
ph,pH,cultivar_mean_null,Weixin,191,0.39035569390502084,0.33142579204916095,-6.213112598768352e-05,-0.006563137971771216,-0.10809075449398074,-0.005830422388258971,0.999354039487674,1.626721500197982,4.778848167539267,0.3901035395409966
ph,pH,cultivar_mean_null,Zaoshu Konglongdan,264,0.22720072888115336,0.18253543324689256,1.5868919003406734e-05,-0.00447664995792052,-0.08907922171507911,-0.003976086244322959,0.9996642620743399,1.320418299172478,5.147310606060605,0.22712444897973033
ph,pH,plumspectra_corrected,3.13,300,0.3569338948792053,0.27878658712832455,0.012140813949555046,0.07622040618998005,0.30263190238326054,0.10709750818963608,1.0421754798818919,1.3728032193911637,4.953833333333334,0.3719877531818485
ph,pH,plumspectra_corrected,A181,310,0.359507837607303,0.28890099872348335,0.003160950834435203,0.028088859358733398,0.1740753565787087,0.043786768116122865,1.0159874118699321,1.4394679221577218,4.745774193548387,0.36525543747759964
ph,pH,plumspectra_corrected,Cuihongli,295,0.2782393992275765,0.22342333895967414,0.011844142024634905,-0.08032389096682624,-0.059789187672254475,-0.02571126664070829,0.9637410381263595,1.329790105309175,3.9990169491525425,0.2681507274592392
ph,pH,plumspectra_corrected,Fengtangli,183,0.47135681899870296,0.39123922621655804,0.027691757666643037,0.03059161768139873,0.19068154496430786,0.05271921233418516,1.018442385639322,1.5062898665776037,4.809836065573769,0.4800497632284012
ph,pH,plumspectra_corrected,Fengwei Huanghou,86,0.27773819341134826,0.23492247144697226,-0.009241163261391216,-0.03572650301974778,-0.018473211820829415,-0.006043421032281614,0.9883646820042312,1.440205234602263,5.002209302325581,0.2745066212114369
ph,pH,plumspectra_corrected,Furongli,276,0.4070041037429268,0.31597863523094816,-0.008174579442590438,0.07171104374066761,0.34562439039280485,0.08700588110925708,1.0397923125267179,1.3329103933130244,3.9609420289855075,0.42319973823872203
ph,pH,plumspectra_corrected,Konglongdan,773,0.3714287665416819,0.3019116881534729,-0.0027484476260002987,0.012674340932867012,0.11284305466881792,0.025638304057144887,1.0070496547140906,1.4269223273543177,4.148218628719276,0.37404721109668126
ph,pH,plumspectra_corrected,L31,216,0.30616464599609877,0.23492258666453883,0.011241427288087462,-0.02490373036142124,-0.023461533642714125,-0.006065791536125968,0.9900704730261027,1.2003345415808833,4.726912037037037,0.3031245758852268
ph,pH,plumspectra_corrected,Naili,144,0.30279536653560857,0.23870820494712477,0.002184823125721448,0.08948807185793495,0.3027200143045127,0.14587728841580086,1.0516480175828409,1.3540497818409793,4.466041666666666,0.3184341469504424
