target,trait,candidate,baseline,candidate_rmse,baseline_rmse,rmse_delta_baseline_minus_candidate,rmse_delta_ci_low,rmse_delta_ci_high,relative_rmse_improvement_pct,relative_improvement_ci_low,relative_improvement_ci_high,bootstrap_probability_candidate_better,cluster_bootstrap_iterations,clusters,claim_status
force_at_6_rawpos_g_mean,F6,plumspectra_corrected,residual_cnn,45.633245130781795,45.57285657984973,-0.06038855093206763,-0.49894864470213207,0.3904969907519748,-0.13250990932784923,-1.0386414168004132,0.9202853835647751,0.398615,200000,15,statistical_parity
force_at_6_rawpos_g_mean,F6,plumspectra_fixed_gate_sensitivity,plumspectra_corrected,45.327540571239034,45.633245130781795,0.305704559542761,0.13202701518796775,0.4755755581926096,0.669916326718889,0.3046017497808273,1.0230354972788345,0.99998,200000,15,supported_outperformance
fruit_weight_g,FW,plumspectra_corrected,cultivar_mean_null,12.16515743624244,12.55209634929631,0.3869389130538696,-0.05272970458872197,0.6441312539228768,3.0826636625965853,-0.5531841207645161,4.499282905928614,0.959115,200000,15,statistical_parity
fruit_weight_g,FW,plumspectra_corrected,no_neural_b50,12.16515743624244,12.403440278903448,0.23828284266100752,0.11135664680746502,0.32386403768026495,1.9211028335928249,1.0424483858558777,2.4784105679965625,1.0,200000,15,supported_outperformance
fruit_weight_g,FW,residual_cnn,nested_rbf_svr,12.017890330190925,12.452257126367996,0.43436679617707163,0.0976280740020695,0.653517489319865,3.4882575244715164,0.9773874577963968,4.641304331400302,0.999615,200000,15,supported_outperformance
fruit_weight_g,FW,plumspectra_corrected,residual_cnn,12.16515743624244,12.017890330190925,-0.14726710605151538,-0.24859537581177835,0.012978717186074577,-1.2253989843920898,-1.8403754812691557,0.13519830478808628,0.046735,200000,15,statistical_parity
fruit_weight_g,FW,plumspectra_fixed_gate_sensitivity,plumspectra_corrected,12.16515743624244,12.16515743624244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000,15,statistical_parity
loading_stiffness_g_per_rawpos_mean,LS,plumspectra_corrected,cultivar_mean_null,70.50224977963614,74.30839302757428,3.806143247938138,2.8298912330402226,5.0468187904665935,5.122090645299993,3.8821670474728287,7.384084929082643,1.0,200000,15,supported_outperformance
loading_stiffness_g_per_rawpos_mean,LS,plumspectra_corrected,no_neural_b50,70.50224977963614,73.4480651434404,2.9458153638042575,1.688165053937279,4.254602660886054,4.010746039465063,2.4060078478188465,5.473493124800116,1.0,200000,15,supported_outperformance
loading_stiffness_g_per_rawpos_mean,LS,residual_cnn,nested_rbf_svr,69.56772056704946,72.82488268639709,3.257162119347626,1.3104344389459037,5.186795494672945,4.472595079038866,2.1774838293269023,6.503942762245601,0.999835,200000,15,supported_outperformance
loading_stiffness_g_per_rawpos_mean,LS,plumspectra_corrected,residual_cnn,70.50224977963614,69.56772056704946,-0.934529212586682,-1.9092185295825945,0.11666555520091156,-1.3433374055801917,-2.5027388429279185,0.20322438463373482,0.0408,200000,15,statistical_parity
loading_stiffness_g_per_rawpos_mean,LS,plumspectra_fixed_gate_sensitivity,plumspectra_corrected,69.84145228641559,70.50224977963614,0.6607974932205565,0.31087769807242704,1.119118267421879,0.93727149883297,0.4544079711364288,1.5213083100565075,1.0,200000,15,supported_outperformance
