sample_id,cultivar_code,trait,value
WD_B01-0249,WD,AF,49.08822815982596
WD_B01-0250,WD,AF,67.68882576242459
WD_B01-0267,WD,AF,30.534336202501777
WD_B01-0276,WD,AF,33.21678717982514
WD_B01-0284,WD,AF,30.157567414348286
WD_B01-0288,WD,AF,44.083138166704416
WD_B01-0291,WD,AF,40.145287042513516
WD_B01-0300,WD,AF,31.867826998315458
WD_B01-0302,WD,AF,23.546933678894025
WD_B01-0307,WD,AF,19.99061115384
WD_B01-0310,WD,AF,35.027449026723076
WD_B01-0315,WD,AF,33.50832560255741
WD_B01-0321,WD,AF,43.89482814467429
WD_B01-0324,WD,AF,31.54430859553858
WD_B01-0325,WD,AF,40.72286035652853
WD_B01-0328,WD,AF,30.280430035356886
WD_B01-0333,WD,AF,31.6716335393441
WD_B01-0336,WD,AF,40.465086842959636
WD_B01-0337,WD,AF,35.848962653636505
WD_B01-0338,WD,AF,38.57454941799679
WD_B01-0342,WD,AF,54.61942601070466
WD_B01-0343,WD,AF,26.63084496384718
WD_B01-0345,WD,AF,38.48917030848234
WD_B01-0347,WD,AF,31.03753746990141
WD_B01-0366,WD,AF,29.51261302609975
WD_B01-0368,WD,AF,39.841105371856635
WD_B01-0370,WD,AF,45.843673254183585
WD_B01-0371,WD,AF,38.68134767693647
WD_B01-0376,WD,AF,21.972031219766833
WD_B01-0377,WD,AF,33.9145457211706
WD_B01-0401,WD,AF,18.231414763199908
WD_B01-0428,WD,AF,37.40021480194001
WD_B01-0434,WD,AF,29.543998029771437
WD_B01-0438,WD,AF,18.030907725524855
WD_B01-0439,WD,AF,26.528360283611192
WD_B01-0440,WD,AF,34.87602753981417
WD_B01-0443,WD,AF,30.399722798127947
WD_B01-0444,WD,AF,27.266874706501874
WD_B01-0450,WD,AF,29.05016764024535
WD_B01-0469,WD,AF,25.21837105452797
WD_B01-0473,WD,AF,34.191655966859486
WD_B01-0475,WD,AF,24.828661530263403
WD_B01-0476,WD,AF,19.434903221529915
WD_B01-0477,WD,AF,25.83208918319805
WD_B01-0482,WD,AF,36.04456113623495
WD_B01-0483,WD,AF,36.415826392938904
WD_B01-0491,WD,AF,34.284174792849015
WD_B01-0494,WD,AF,32.64322995632737
WD_B01-0501,WD,AF,35.02759777081631
WD_B01-0502,WD,AF,36.91084673521084
WD_B01-0503,WD,AF,39.100954763940415
WD_B01-0504,WD,AF,39.05648028006442
WD_B01-0506,WD,AF,21.1389155535814
WD_B01-0508,WD,AF,35.13201612426429
WD_B01-0512,WD,AF,28.833744984594603
WD_B01-0513,WD,AF,24.243651011586863
WD_B01-0519,WD,AF,26.447146008707207
WD_B01-0527,WD,AF,27.75133421815443
WD_B01-0536,WD,AF,22.04015601446652
WD_B01-0543,WD,AF,41.91043319688284
WD_B01-0547,WD,AF,34.930914110216314
WD_B01-0553,WD,AF,15.981660353084802
WD_B01-0558,WD,AF,20.74578491517252
WD_B01-0559,WD,AF,24.298983814268702
WD_B01-0561,WD,AF,37.822945514901804
WD_B01-0562,WD,AF,36.55624081694873
WD_B01-0572,WD,AF,51.605721937756414
