trait,cultivar_code,n,rmse_reduction_pct,r2_within,pearson_r
PRW,CHL,295,11.219748122968976,-0.07645998531465859,0.09273324601973441
PRW,FRL,278,0.6774353005595881,0.11299962160742705,0.4152288898426872
PRW,FTL,183,6.176523627799288,0.051724427745337254,0.23401210415981186
PRW,FWHH,86,4.516375148384322,0.07782545103545246,0.2991756970911908
PRW,KLD,778,2.6725535533717584,0.07147074174931234,0.2781255727437217
PRW,L31,216,10.359802251973276,0.0007200060939542841,0.22581745811040083
PRW,L313,300,26.08065588459877,-0.015151250076246958,0.4433401457330201
PRW,LA191,310,7.711078544951699,-0.026821739730452876,0.18994091442424318
PRW,NL,144,9.194396063336951,0.3031150405910734,0.6097519109725974
PRW,QCL,329,4.414320563679557,0.0686500620281909,0.26351230208953097
PRW,WD,681,33.41512687664977,-0.12318669394565962,0.5186060840769134
PRW,WJ,320,8.251633562939801,-0.04827019917591313,0.12646919812881663
PRW,WW,478,1.2256135082449142,0.10722367934745203,0.37606210993694916
PRW,WX,191,4.795072204603874,0.019998748238847064,0.16354840308433669
PRW,ZSKLD,264,27.624163643146822,-0.06666099558289673,0.308706757686209
RD,CHL,295,8.044538544524347,-0.23109556171899093,0.06942427921065218
RD,FRL,278,-0.06970313264535702,0.2954031382646296,0.5802534551228975
RD,FTL,183,3.2253431075868315,0.02354279004883164,0.30303603001396123
RD,FWHH,86,8.01876722121712,0.00981683979209469,0.3930728648602678
RD,KLD,778,11.743543957471282,-0.16044449263821892,0.14395957239150325
RD,L31,216,-3.0051571795098697,0.1751546369308018,0.445431572844244
RD,L313,300,4.63168501873139,0.059586624767120844,0.35232114072162346
RD,LA191,310,2.87929924551801,0.10933338754299338,0.396086130469923
RD,NL,144,3.3649277077703372,0.47585132301974786,0.7300136130838493
RD,QCL,329,2.4324278936344697,0.17750255381453672,0.42365617346379036
RD,WD,681,3.240529288247082,0.34861202262696644,0.5938844535763331
RD,WJ,320,6.111822105297187,-0.3336707250082167,0.2016312239712498
RD,WW,478,10.308346885492305,0.03470660512491197,0.22217354496351335
RD,WX,191,1.7691475086068102,0.20064515469911237,0.45885659678982466
RD,ZSKLD,264,2.0735449232793712,0.10698644688441228,0.34589626720497163
SRF,CHL,295,6.957929661390253,-0.034138243529991064,0.052102333207204914
SRF,FRL,278,8.548109923516162,0.0941268209073467,0.30915683290815943
SRF,FTL,183,2.5795359001809324,0.026966031191129947,0.17277594690643422
SRF,FWHH,86,16.64105458248892,0.005018548511526499,0.16149151686209723
SRF,KLD,778,3.4315398318698422,0.05732228855340071,0.24565655635508238
SRF,L31,216,4.35109623468886,-0.001901303529727727,0.09003731179519667
SRF,L313,300,13.228674309044328,0.13759832495885949,0.3728313959099196
SRF,LA191,310,7.605052746924331,-0.02573086985640982,0.11305566949852983
SRF,NL,144,6.624295611252964,-0.0374229527293608,0.06452932977172363
SRF,QCL,329,2.382294193489765,0.019173807534868192,0.14154720302571724
SRF,WD,681,8.485042802199047,0.1784536616040835,0.43164067296933306
SRF,WJ,320,14.402886169248179,-0.07497776917448662,0.08333204075849163
SRF,WW,478,4.453201926160984,0.12709374163025777,0.4275648941911709
SRF,WX,191,6.460132524070295,-0.0024081812767080546,0.084471993720366
SRF,ZSKLD,264,2.69272730202694,0.002572219244772689,0.09404992169603314
SSC,CHL,295,7.121813207408388,-0.5410030426549428,0.05197343371213675
SSC,FRL,276,15.931322785405087,-0.6268439211794381,0.2251630283518514
SSC,FTL,183,3.9242597152521554,0.5797428027424014,0.7973662475887369
SSC,FWHH,86,4.517031092699467,-0.1632276230983214,0.36916664150559964
SSC,KLD,773,4.222082957565114,0.44736835398335684,0.6722383526047553
SSC,L31,216,3.234432440548664,0.059335465487218464,0.4232047855877568
SSC,L313,300,9.8973116926272,0.2749812963556665,0.5680834095888444
SSC,LA191,310,7.021406320059168,0.2843655316871081,0.583560676224397
SSC,NL,144,4.606029512441225,0.44711499261625176,0.6811204053944916
SSC,QCL,329,0.7211716165046443,0.5637070744625325,0.7637685505401637
SSC,WD,681,1.119054394051553,0.5152481833268707,0.7260838085862514
SSC,WJ,317,0.7520529738572075,0.23116890059904582,0.48603443343557107
SSC,WW,478,3.6595281121235193,0.3997290110661118,0.6345799343934024
SSC,WX,191,7.611826066356038,-0.2115974493132935,0.2858158108025974
SSC,ZSKLD,264,-1.9719554335291951,-0.12222100791781965,0.3565197680353959
pH,CHL,295,2.615141920271936,-0.08032389096682624,-0.05978918767225445
pH,FRL,276,0.6647162048608128,0.07171104374066761,0.3456243903928049
pH,FTL,183,-0.38132271317678545,0.03059161768139873,0.1906815449643079
pH,FWHH,86,1.5546883320098706,-0.03572650301974778,-0.018473211820829352
pH,KLD,773,1.4649459495298376,0.012674340932867012,0.11284305466881796
pH,L31,216,1.9602034328951994,-0.02490373036142124,-0.02346153364271414
pH,L313,300,0.15936122884459003,0.07622040618998005,0.30263190238326043
pH,LA191,310,1.575565985280332,0.028088859358733398,0.1740753565787087
pH,NL,144,0.09802804975006486,0.08948807185793495,0.3027200143045126
pH,QCL,329,1.244546139764645,0.031049080661492257,0.18117358644309303
pH,WD,681,4.785167799781021,0.03460567706164219,0.18974717054461415
pH,WJ,317,1.494922475692779,-0.014359590658651111,0.016510216486126043
pH,WW,478,3.3750205378976355,-0.035891887323028726,-0.10459291970120235
pH,WX,191,2.1131842092779216,-0.0024425854523466572,0.05980230376434501
pH,ZSKLD,264,5.603784918020431,0.007927589273109437,0.12298405964832476
