sample_id,cultivar_code,PC1,PC2
313_A110_B01-0233,L313,-3.806807868269746,-1.3998056622419246
313_A110_B01-0234,L313,-4.3324636609419045,-1.4229201648732173
313_A110_B01-0235,L313,-3.3205228898596233,-1.4132884965996706
313_A110_B01-0236,L313,-3.74540479169918,-1.2855983996423308
313_A110_B01-0237,L313,-3.8999952966295384,-1.110011083762059
313_A110_B01-0238,L313,-3.319539530048382,-1.5175911957248422
313_A110_B01-0239,L313,-2.958753644316934,-1.3378230360760515
313_A110_B01-0241,L313,-4.322346910931432,-1.080269931406342
313_A110_B01-0242,L313,-3.5536313699211295,-1.6277118170371223
313_A110_B01-0243,L313,-3.9496561980429377,-1.1798912796144865
313_A110_B01-0244,L313,-4.441184099623614,-1.4864633860758079
313_A110_B01-0245,L313,-4.478046884243475,-1.4619986679744845
313_A110_B01-0246,L313,-4.73472935773927,-1.1419273039452535
313_A110_B01-0247,L313,-3.0645214040098487,-1.6100530149610424
313_A110_B01-0248,L313,-3.9232638536108264,-1.5393863647112183
313_A110_B01-0249,L313,-4.085203330520844,-1.3814111350089695
313_A110_B01-0250,L313,-3.1417495574741956,-1.572216921643728
313_A110_B01-0251,L313,-2.21362139723837,-1.3281830836777766
313_A110_B01-0252,L313,-3.3306891380330375,-1.7221768811959512
313_A110_B01-0253,L313,-5.362708300061109,-0.9903743646051064
313_A110_B01-0256,L313,-3.878917629255165,-1.6443667771257187
313_A110_B01-0257,L313,-3.4530383001585903,-1.8330324949498356
313_A110_B01-0258,L313,-3.4100919445644142,-1.6751874719178184
313_A110_B01-0259,L313,-0.2698858609262768,-1.7938679627413512
313_A110_B01-0260,L313,-1.6824024816234122,-1.9376877526727707
313_A110_B01-0261,L313,-1.8271045953776546,-1.2782713098701808
313_A110_B01-0262,L313,-2.5529659442151993,-1.8533172652473904
313_A110_B01-0263,L313,-1.937844285260776,-2.0811335688981534
313_A110_B01-0265,L313,-3.193818923967314,-1.5113241644752795
313_A110_B01-0266,L313,-2.3233682097454205,-2.0570488765834565
313_A110_B01-0268,L313,-4.038692286974624,-1.3286861065461637
313_A110_B01-0269,L313,-1.556597569957251,-1.6394219626708004
313_A110_B01-0272,L313,-1.603637659156883,-1.4412704791501256
313_A110_B01-0273,L313,-3.3861136767142823,-1.5316779600029595
313_A110_B01-0274,L313,-2.8948282318046297,-1.4961255045543551
313_A110_B01-0275,L313,-3.8808404438159116,-1.620129237334137
313_A110_B01-0276,L313,-3.5738974782849606,-1.397259569715936
313_A110_B01-0277,L313,-4.533082661367622,-1.3892914747020746
313_A110_B01-0278,L313,-3.913935962559922,-1.83072234163805
313_A110_B01-0279,L313,-2.8300709923335825,-1.3806439316259422
313_A110_B01-0280,L313,-2.813955456646494,-1.3983563243417294
313_A110_B01-0281,L313,-3.6050242523947533,-1.957745968895566
313_A110_B01-0282,L313,-0.9171664364921047,-2.5412017043412467
313_A110_B01-0283,L313,-3.6082532456836405,-1.6957895755236163
313_A110_B01-0284,L313,-2.1168001897322943,-1.2989965045064484
313_A110_B01-0286,L313,-3.6951386839083002,-1.5901923169591177
313_A110_B01-0288,L313,-1.3204548467825648,-1.7868827181590055
313_A110_B01-0289,L313,-2.5199105145332243,-1.9066572161659463
313_A110_B01-0290,L313,-2.83718859716607,-2.2066739507892605
313_A110_B01-0291,L313,-2.9484304802887884,-1.728335332816365
313_A110_B01-0292,L313,-3.512954823460714,-1.8528164496092359
313_A110_B01-0293,L313,-2.6623805688429356,-1.9598226694689758
313_A110_B01-0294,L313,-3.2077348095980867,-1.7989989679555756
313_A110_B01-0295,L313,-3.01618840625623,-2.3504058989485075
313_A110_B01-0296,L313,-3.336104747861236,-1.4877482799151691
313_A110_B01-0297,L313,-2.9337798383607954,-1.9363502186731711
313_A110_B01-0299,L313,-2.769902116337334,-2.3201299617452587
313_A110_B01-0300,L313,-3.712173497078478,-1.585122345149522
313_A110_B01-0301,L313,-3.293798817618267,-1.9817929549577225
313_A110_B01-0302,L313,-3.3074968909247646,-2.4227758047061725
313_A110_B01-0303,L313,-4.298891449682679,-1.4507851527731634
313_A110_B01-0305,L313,-2.755007700826921,-1.4368060682689432
313_A110_B01-0306,L313,-3.7446270290241173,-2.2295580433001283
313_A110_B01-0307,L313,-3.6955653986169947,-2.237021974139931
313_A110_B01-0308,L313,-4.02154763435391,-0.32385139496313775
313_A110_B01-0309,L313,-2.940053526261514,-2.422694773967595
313_A110_B01-0310,L313,-4.270946202887218,-2.1491905903584705
